epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.255,2.13103,3.80404,2.01608,0.0033,0.66606,0.06245,0.022,2.31652,3.79023,2.06211,0.000362454,0.000362454,0.000362454
2,239.669,2.11064,3.43515,1.90843,0.49371,0.15818,0.07012,0.01754,2.54516,3.48001,2.25972,0.000708605,0.000708605,0.000708605
3,340.134,2.04395,3.09677,1.90226,0.26691,0.16212,0.07417,0.02387,2.49654,3.80218,2.37415,0.00103031,0.00103031,0.00103031
4,441.718,2.07747,2.99593,1.93416,0.21201,0.20576,0.09698,0.0316,2.46542,3.90805,2.31347,0.00100101,0.00100101,0.00100101
5,554.535,2.00784,2.89252,1.87481,0.21918,0.20286,0.11853,0.04236,2.36395,3.84456,2.20831,0.000964348,0.000964348,0.000964348
6,657.422,1.9471,2.81232,1.85065,0.09118,0.17303,0.05727,0.02225,2.49134,4.26043,2.3186,0.000927685,0.000927685,0.000927685
7,754.417,1.92514,2.78211,1.85329,0.17106,0.24814,0.15007,0.05362,2.29228,3.84678,2.18438,0.000891022,0.000891022,0.000891022
8,869.087,1.89126,2.67122,1.83528,0.2526,0.35334,0.22583,0.08535,2.27544,3.02291,2.108,0.000854359,0.000854359,0.000854359
9,990.145,1.89516,2.65058,1.82194,0.2847,0.29455,0.20678,0.07114,2.46172,2.85771,2.22434,0.000817696,0.000817696,0.000817696
10,1093.51,1.86938,2.56531,1.78331,0.39382,0.23,0.22175,0.08355,2.29747,3.27538,2.03707,0.000781033,0.000781033,0.000781033
11,1220.42,1.80681,2.46474,1.73223,0.37429,0.32939,0.25605,0.09139,2.21994,2.9175,2.06438,0.00074437,0.00074437,0.00074437
12,1333.53,1.78421,2.445,1.75101,0.24796,0.38384,0.23408,0.07857,2.17529,2.8447,2.00771,0.000707707,0.000707707,0.000707707
13,1434.36,1.72966,2.37552,1.72888,0.35974,0.36758,0.33165,0.12944,2.14208,2.63045,1.99843,0.000671044,0.000671044,0.000671044
14,1531.74,1.7369,2.35643,1.71617,0.32104,0.44278,0.33542,0.11576,2.23177,2.51519,2.05205,0.000634381,0.000634381,0.000634381
15,1604.41,1.72632,2.38336,1.71393,0.34513,0.43539,0.32792,0.12603,2.1761,2.57103,2.05066,0.000597718,0.000597718,0.000597718
16,1697.51,1.71278,2.37993,1.69964,0.36995,0.45523,0.33735,0.13434,2.12119,2.50723,1.96234,0.000561055,0.000561055,0.000561055
17,1809.1,1.66868,2.25849,1.65841,0.46322,0.38421,0.41524,0.15397,2.12232,2.50254,1.95715,0.000524392,0.000524392,0.000524392
18,1927.17,1.69058,2.1869,1.67312,0.42179,0.41119,0.34509,0.13045,2.28045,2.52834,2.02196,0.000487729,0.000487729,0.000487729
19,2045.36,1.63945,2.18964,1.61701,0.436,0.40612,0.37172,0.14101,2.11872,2.49869,1.94045,0.000451066,0.000451066,0.000451066
20,2185.76,1.61972,2.1548,1.62052,0.39364,0.46272,0.37542,0.13853,2.19725,2.39164,1.98439,0.000414403,0.000414403,0.000414403
21,2311.9,1.70364,2.54208,1.65417,0.50327,0.40255,0.39214,0.16256,2.11155,2.35913,1.95331,0.00037774,0.00037774,0.00037774
22,2405.36,1.63176,2.3364,1.68776,0.3842,0.3903,0.36696,0.15385,2.02404,2.54107,1.97342,0.000341077,0.000341077,0.000341077
23,2517.29,1.59421,2.20925,1.63611,0.45169,0.48636,0.43199,0.1731,2.02613,2.45533,1.94269,0.000304414,0.000304414,0.000304414
24,2625.89,1.6167,2.13203,1.6347,0.42621,0.47648,0.43765,0.18662,1.99732,2.37052,1.91619,0.000267751,0.000267751,0.000267751
25,2735.68,1.51389,2.05219,1.55565,0.48643,0.4685,0.45127,0.18743,2.02284,2.32945,1.89792,0.000231088,0.000231088,0.000231088
26,2860.05,1.47295,2.02295,1.55485,0.47886,0.44242,0.43914,0.18434,1.99591,2.31508,1.89152,0.000194425,0.000194425,0.000194425
27,2982.07,1.50304,1.95805,1.58258,0.53807,0.4455,0.45479,0.18671,1.99173,2.30899,1.8739,0.000157762,0.000157762,0.000157762
28,3089.35,1.48682,1.9639,1.56475,0.5437,0.47333,0.44857,0.18521,1.98433,2.27532,1.88581,0.000121099,0.000121099,0.000121099
29,3197.97,1.44486,1.90076,1.52124,0.57463,0.47949,0.49044,0.19848,1.99067,2.23332,1.89091,8.4436e-05,8.4436e-05,8.4436e-05
30,3304.4,1.44369,1.90639,1.52284,0.5691,0.4896,0.50589,0.20539,1.97921,2.23964,1.88736,4.7773e-05,4.7773e-05,4.7773e-05
